x,y,vx,vy
600,0.125696,0,0.15712
600,0.377088,0,0.31424
600,0.754176,0,0.47136
600,1.25696,0,0.62848
600,1.88544,0,0.7856
600,2.63962,0,0.94272
600,3.51949,0,1.09984
600,4.52506,0,1.25696
600,5.65632,0,1.41408
600,6.91328,0,1.5712
600,8.29594,0,1.72832
600,9.80429,0,1.88544
600,11.4383,0,2.04256
600,13.1981,0,2.19968
600,15.0835,0,2.3568
600,17.0947,0,2.51392
600,19.2315,0,2.67104
600,21.494,0,2.82816
600,23.8822,0,2.98528
600,26.3962,0,3.1424
600,29.0358,0,3.29952
600,31.8011,0,3.45664
600,34.6921,0,3.61376
600,37.7088,0,3.77088
600,40.8512,0,3.928
600,44.1193,0,4.08512
600,47.5131,0,4.24224
600,51.0326,0,4.39936
600,54.6778,0,4.55648
600,58.4486,0,4.7136
600,62.3452,0,4.87072
600,66.3675,0,5.02784
600,70.5155,0,5.18496
600,74.7891,0,5.34208
600,79.1885,0,5.4992
600,83.7135,0,5.65632
600,88.3643,0,5.81344
600,93.1407,0,5.97056
600,98.0429,0,6.12768
600,103.071,0,6.2848
600,108.224,0,6.44192
600,113.503,0,6.59904
600,118.908,0,6.75616
600,124.439,0,6.91328
600,130.095,0,7.0704
600,135.877,0,7.22752
600,141.785,0,7.38464
600,147.819,0,7.54176
600,153.978,0,7.69888
600,160.262,0,7.856
600,166.673,0,8.01312
600,173.209,0,8.17024
600,179.871,0,8.32736
600,186.659,0,8.48448
600,193.572,0,8.6416
600,200.611,0,8.79872
600,207.776,0,8.95584
600,215.066,0,9.11296
600,222.482,0,9.27008
600,230.024,0,9.4272
600,237.691,0,9.58432
600,245.484,0,9.74144
600,253.403,0,9.89856
600,261.448,0,10.0557
600,269.618,0,10.2128
600,277.914,0,10.3699
600,286.336,0,10.527
600,294.883,0,10.6842
600,303.556,0,10.8413
600,312.355,0,10.9984
600,321.279,0,11.1555
600,330.329,0,11.3126
600,339.505,0,11.4698
600,348.806,0,11.6269
600,358.234,0,11.784
600,367.787,0,11.9411
600,377.465,0,12.0982
600,387.269,0,12.2554
600,397.199,0,12.4125
600,407.255,0,12.5696
600,417.436,0,12.7267
600,427.744,0,12.8838
600,438.176,0,13.041
600,448.735,0,13.1981
600,459.419,0,13.3552
600,470.229,0,13.5123
600,481.164,0,13.6694
600,492.226,0,13.8266
600,503.413,0,13.9837
600,514.725,0,14.1408
600,526.163,0,14.2979
600,537.728,0,14.455
600,549.417,0,14.6122
600,561.233,0,14.7693
600,573.174,0,14.9264
600,585.241,0,15.0835
600,597.433,0,15.2406
600,609.751,0,15.3978
600,622.195,0,15.5549
600,634.765,0,15.712
600,647.46,0,15.8691
600,660.281,0,16.0262
600,673.228,0,16.1834
600,686.3,0,16.3405
600,699.498,0,16.4976
600,712.822,0,16.6547
600,726.272,0,16.8118
600,739.847,0,16.969
600,753.548,0,17.1261
600,767.374,0,17.2832
600,781.326,0,17.4403
600,795.404,0,17.5974
600,809.608,0,17.7546
600,823.937,0,17.9117
600,838.392,0,18.0688
600,852.973,0,18.2259
600,867.68,0,18.383
600,882.512,0,18.5402
600,897.469,0,18.6973
600,912.553,0,18.8544
600,927.762,0,19.0115
600,943.097,0,19.1686
600,958.558,0,19.3258
600,974.144,0,19.4829
600,989.856,0,19.64
600,1005.69,0,19.7971
600,1021.66,0,19.9542
600,1037.75,0,20.1114
600,1053.96,0,20.2685
600,1070.3,0,20.4256
600,1086.77,0,20.5827
600,1103.36,0,20.7398
600,1120.08,0,20.897
600,1136.92,0,21.0541
